Month,System Dependability,Trip Reliability,Scheduled Hours,Operated Hours,Downtime Events
Jan-1985,0.9837,0.9973,314.5833333,310.7,23
Feb-1985,0.9712,0.9964,353.5833333,346.35,41
Mar-1985,0.994,0.9985,345.25,343.8,20
Apr-1985,0.9932,0.9975,384.75,383.1833333,19
May-1985,0.9896,0.9988,304.5,301.9166667,6
Jun-1985,0.9858,0.9993,291.5,287.8833333,16
Jul-1985,0.9964,0.9996,352.25,351.2,13
Aug-1985,0.991,0.998,254,252.4,18
Sep-1985,0.9799,0.997,370,364.8333333,24
Oct-1985,0.9933,0.9982,417.25,415.35,20
Nov-1985,0.9931,0.9978,307.5,306.1666667,14
Dec-1985,0.9796,0.9972,301.25,296.4833333,18
Jan-1986,0.9712,0.9955,298.75,292.0333333,38
Feb-1986,0.9877,0.9974,353.5,351.5,28
Mar-1986,0.9823,0.9976,290.25,286.8833333,19
Apr-1986,0.9922,0.9987,400.5,398.0666667,20
May-1986,0.9933,0.9988,285.25,283.8166667,9
Jun-1986,0.9983,0.9996,295.5,295.15,7
Jul-1986,0.9931,0.999,342.25,340.3833333,20
Aug-1986,0.9892,0.9981,251,249.2,10
Sep-1986,0.9859,0.9956,386.75,383.5166667,25
Oct-1986,0.9834,0.9959,423,417.9833333,39
Nov-1986,0.9902,0.9979,284.5,282.4833333,10
Dec-1986,0.9854,0.9981,286,282.6833333,11
Jan-1987,0.9787,0.9971,323,317.5,34
Feb-1987,0.9936,0.9983,358.5,356.9166667,20
Mar-1987,0.9885,0.9979,317,314.2333333,21
Apr-1987,0.9846,0.9964,378.75,374.55,34
May-1987,0.9938,0.9989,269,267.75,14
Jun-1987,0.98,0.9992,307,301.5666667,14
Jul-1987,0.9938,0.9986,342.25,340.7,21
Aug-1987,0.9916,0.9986,292.25,290.3833333,16
Sep-1987,0.9896,0.9967,387.25,384.6666667,29
Oct-1987,0.9887,0.9985,411.5,407.7166667,21
Nov-1987,0.9816,0.9976,301,296.55,29
Dec-1987,0.9959,0.9988,269,268.3833333,10
Jan-1988,0.9645,0.9964,328.25,319,37
Feb-1988,0.9791,0.997,387.5,383.5,32
